INFO 2025-06-17 03:55:05,154 autoreload Watching for file changes with StatReloader
INFO 2025-06-17 03:55:31,158 basehttp "GET /api/users/?role=student HTTP/1.1" 200 236
INFO 2025-06-17 03:55:31,160 basehttp "GET /api/users/ HTTP/1.1" 200 236
INFO 2025-06-17 03:55:31,175 basehttp "GET /api/users/?role=teacher HTTP/1.1" 200 236
INFO 2025-06-17 03:55:31,187 basehttp "GET /api/subjects/ HTTP/1.1" 200 104
INFO 2025-06-17 03:55:31,202 basehttp "GET /api/subjects/ HTTP/1.1" 200 104
INFO 2025-06-17 03:55:31,817 basehttp "OPTIONS /api/users/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:31,819 basehttp "OPTIONS /api/users/?role=teacher HTTP/1.1" 200 0
INFO 2025-06-17 03:55:31,820 basehttp "OPTIONS /api/users/?role=student HTTP/1.1" 200 0
INFO 2025-06-17 03:55:31,828 basehttp "OPTIONS /api/subjects/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:31,832 basehttp "OPTIONS /api/users/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:31,835 basehttp "OPTIONS /api/subjects/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:31,840 basehttp "GET /api/users/ HTTP/1.1" 200 236
INFO 2025-06-17 03:55:31,845 basehttp "GET /api/users/?role=student HTTP/1.1" 200 236
INFO 2025-06-17 03:55:31,889 basehttp "GET /api/users/ HTTP/1.1" 200 236
INFO 2025-06-17 03:55:31,895 basehttp "GET /api/users/?role=teacher HTTP/1.1" 200 236
INFO 2025-06-17 03:55:31,897 basehttp "GET /api/subjects/ HTTP/1.1" 200 104
INFO 2025-06-17 03:55:31,899 basehttp "GET /api/subjects/ HTTP/1.1" 200 104
INFO 2025-06-17 03:55:32,449 basehttp "OPTIONS /api/users/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:32,456 basehttp "OPTIONS /api/users/?role=teacher HTTP/1.1" 200 0
INFO 2025-06-17 03:55:32,459 basehttp "GET /api/users/ HTTP/1.1" 200 236
INFO 2025-06-17 03:55:32,497 basehttp "GET /api/users/?role=teacher HTTP/1.1" 200 236
INFO 2025-06-17 03:55:32,497 basehttp "OPTIONS /api/users/?role=student HTTP/1.1" 200 0
INFO 2025-06-17 03:55:32,507 basehttp "OPTIONS /api/subjects/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:32,510 basehttp "OPTIONS /api/users/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:32,514 basehttp "OPTIONS /api/subjects/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:32,526 basehttp "GET /api/users/?role=student HTTP/1.1" 200 236
INFO 2025-06-17 03:55:32,558 basehttp "GET /api/subjects/ HTTP/1.1" 200 104
INFO 2025-06-17 03:55:32,575 basehttp "GET /api/users/ HTTP/1.1" 200 236
INFO 2025-06-17 03:55:32,578 basehttp "GET /api/subjects/ HTTP/1.1" 200 104
INFO 2025-06-17 03:55:33,193 basehttp "OPTIONS /api/users/ HTTP/1.1" 200 0
